rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
3,3,312,20,$$,10.5,16.821,20,1200,French #355,Rest_355,0,NA
3.5,3.5,66,10,$,11.9,19.089,23,1402,French #356,Rest_356,0,NA
3.5,3.3,303,45,$$$,11.8,19.004,24,1440,French #357,Rest_357,0,NA
3,3.1,392,20,$$,11.6,18.736,23,1375,French #358,Rest_358,0,NA
4,3.9,203,20,$$,17.1,27.56,29,1712,French #359,Rest_359,0,NA
3.5,3.6,316,20,$$,17.3,27.804,32,1910,French #360,Rest_360,0,NA
2.5,2.7,70,20,$$,20.9,33.709,33,1976,French #361,Rest_361,0,NA
3,2.9,98,20,$$,21.8,35.025,32,1915,French #362,Rest_362,0,NA
3.5,3.4,123,20,$$,15.9,25.641,28,1679,French #363,Rest_363,0,NA
4.5,4.5,83,20,$$,14.5,23.291,25,1470,French #364,Rest_364,0,NA
4,4.1,680,45,$$$,11.3,18.137,22,1296,French #365,Rest_365,0,NA
3.5,3.7,52,20,$$,11.5,18.438,21,1259,French #366,Rest_366,0,NA
3.5,3.5,445,20,$$,11.3,18.119,22,1298,French #367,Rest_367,0,NA
3.5,3.3,24,20,$$,9.9,16.008,21,1252,French #368,Rest_368,0,NA
3.5,3.3,544,20,$$,11.4,18.279,20,1200,French #369,Rest_369,0,NA
3,3.2,143,20,$$,11.5,18.471,20,1226,French #370,Rest_370,0,NA
3.5,3.3,3,20,$$,9.6,15.487,21,1235,French #371,Rest_371,0,NA
2.5,2.6,8,20,$$,11,17.748,21,1266,French #372,Rest_372,0,NA
2.5,2.7,3,20,$$,10.4,16.813,21,1231,French #373,Rest_373,0,NA
2.5,2.3,26,20,$$,9.7,15.679,20,1222,French #374,Rest_374,0,NA
4.5,4.4,489,20,$$,16.5,26.526,28,1693,French #375,Rest_375,0,NA
3.5,3.4,82,20,$$,15.6,25.133,25,1481,French #376,Rest_376,0,NA
3.5,3.4,28,20,$$,17.7,28.544,31,1856,French #377,Rest_377,0,NA
3.5,3.7,146,20,$$,15.7,25.229,29,1768,French #378,Rest_378,0,NA
2,2.2,128,20,$$,8.9,14.319,18,1050,French #379,Rest_379,0,NA
