rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
4,4.2,102,20,$$,2,2.976,8,455,Restaurant 348,Rest_348,0,0
4,4.1,438,20,$$,4,6.142,11,638,Restaurant 349,Rest_349,0,0
4,3.9,190,20,$$,2,2.527,6,388,Restaurant 350,Rest_350,0,0
3.5,3.4,393,20,$$,1,2.036,6,362,Restaurant 351,Rest_351,0,0
3.5,3.7,220,20,$$,1,1.716,5,311,Restaurant 352,Rest_352,0,0
3.5,3.7,849,20,$$,4,6.572,14,839,Restaurant 353,Rest_353,0,0
4,4.1,179,20,$$,2,2.805,7,392,Restaurant 354,Rest_354,0,0
4,3.9,866,20,$$,5,7.79,15,886,Restaurant 355,Rest_355,0,0
3.5,3.5,338,20,$$,1,1.697,5,308,Restaurant 356,Rest_356,0,0
4,4.2,6,20,$$,1,1.4,5,271,Restaurant 357,Rest_357,0,0
4,3.9,233,20,$$,2,2.498,5,326,Restaurant 358,Rest_358,0,0
4,4,663,20,$$,4,5.881,12,742,Restaurant 359,Rest_359,0,0
3.5,3.6,293,20,$$,1,1.638,5,271,Restaurant 360,Rest_360,0,0
4,4,370,20,$$,2,2.958,9,511,Restaurant 361,Rest_361,0,0
4,4,259,20,$$,1,1.967,7,406,Restaurant 362,Rest_362,0,0
4.5,4.3,741,20,$$,5,8.39,14,842,Restaurant 363,Rest_363,0,0
4,4.1,823,20,$$,5,8.215,14,847,Restaurant 364,Rest_364,0,0
4.5,4.4,716,20,$$,5,7.64,15,886,Restaurant 365,Rest_365,0,0
3.5,3.6,484,20,$$,1,2.256,7,394,Restaurant 366,Rest_366,0,0
4,3.9,933,20,$$,5,7.799,13,774,Restaurant 367,Rest_367,0,0
3.5,3.5,939,20,$$,3,5.577,11,665,Restaurant 368,Rest_368,0,0
3.5,3.5,1059,20,$$,3,5.589,12,696,Restaurant 369,Rest_369,0,0
4,4.1,1007,20,$$,4,6.14,15,914,Restaurant 370,Rest_370,0,0
4,4.1,1673,45,$$$,5,8.183,13,800,Restaurant 371,Rest_371,0,0
4,4.1,1173,20,$$,5,8.175,14,850,Restaurant 372,Rest_372,0,0
4.5,4.3,1010,20,$$,4,6.566,12,722,Restaurant 373,Rest_373,0,0
4,3.9,1270,20,$$,4,5.89,14,836,Restaurant 374,Rest_374,0,0
